Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0.380952381,0,0.71991404,2,0.285714286,4,4,1,0,0.314285714,3,1,8,3,1,0.091258557,0.039269223,1,1,0.285714286,3,4,0,0.05,0,3,0.05,0.111111111,0.133333333,0.117647059
0.738095238,0,0.142550143,1,0.75,4,1,1,0,0.6,3,4,7,2,1,0.81116377,0.056374222,3,1,0.357142857,3,2,2,0.675,2,3,0.1,0.111111111,0.066666667,0.117647059
0.071428571,0,0.949140401,1,0.607142857,1,1,4,0,0.5,3,1,1,4,0,0.088678252,0.272073881,1,1,0.571428571,3,1,0,0.025,3,2,0.025,0,0,0
0.69047619,2,0.315902579,0,0.035714286,4,3,3,1,0.814285714,3,2,0,2,1,0.209004739,0.05790002,7,1,0,3,4,1,0.1,3,1,0.025,0,0,0
0.19047619,0,0.893266476,1,0.785714286,3,0,1,0,0.857142857,3,1,1,4,2,0.098841496,0.03766312,1,1,0.785714286,4,2,2,0.075,3,1,0.075,0.111111111,0,0.117647059
0.595238095,1,0.229226361,1,0,3,0,4,0,0.042857143,3,2,4,4,1,0.239757767,0.790523991,4,1,0.142857143,3,2,1,0.3,2,2,0.125,0.111111111,0.133333333,0.117647059
0.761904762,0,0.220630372,0,0.964285714,3,3,4,1,0.128571429,2,3,0,1,2,0.518430753,0.581891187,4,0,0.142857143,3,2,1,0.5,3,3,0.075,0.111111111,0.133333333,0
0.261904762,0,0.908309456,1,0.071428571,1,2,2,1,0.814285714,3,1,2,1,0,0.195576619,0.566914274,1,0,0.5,3,4,0,0.25,3,3,0.25,0.5,0.066666667,0.294117647
0.833333333,0,0.91260745,0,0.035714286,2,2,3,1,0.214285714,3,4,5,3,2,0.728962612,0.475567155,6,1,0.142857143,3,3,1,0.55,3,4,0.425,0.722222222,1,0.117647059
0.30952381,0,0.083094556,0,0.214285714,3,4,2,1,1,4,2,0,4,1,0.311743023,0.407428227,4,1,0,3,2,1,0.25,3,2,0.2,0.388888889,0.466666667,0.411764706
0.904761905,0,0.907593123,1,0.785714286,3,0,4,1,0.542857143,3,4,3,2,1,0.652606635,0.648102791,4,0,0.071428571,3,1,1,0.825,0,3,0.475,0.888888889,1,0.529411765
0.071428571,0,0.168338109,0,0.214285714,1,3,2,1,0.014285714,3,1,6,2,0,0.087941022,0.09929733,1,1,0.142857143,3,2,0,0.025,3,3,0.025,0,0.066666667,0
0.404761905,0,0.840974212,1,0.535714286,3,0,4,1,0.6,3,3,4,3,1,0.348762507,0.489901626,4,0,0.071428571,3,3,0,0.25,2,3,0.2,0.388888889,0,0
0.30952381,0,0.160458453,0,0.25,2,0,1,1,0.014285714,3,3,0,4,2,0.515218536,0.252640032,1,1,0.5,3,1,1,0.325,5,3,0.325,0.388888889,0.6,0.529411765
0.047619048,0,0.019340974,1,0.107142857,3,4,1,1,0.771428571,3,1,2,1,0,0.103422854,0.438225256,1,1,0.571428571,3,2,0,0.025,2,3,0.025,0,0,0
0.5,0,0.027936963,2,0.071428571,3,5,3,0,0.2,4,2,8,2,1,0.283307004,0.669463963,9,1,0.285714286,3,3,1,0.3,3,1,0.2,0.166666667,0.2,0.352941176
0.30952381,1,0.732808023,1,0,3,0,4,1,0.257142857,1,2,1,1,1,0.210321222,0.147641036,1,1,0.714285714,4,2,0,0.25,6,3,0.25,0.444444444,0.533333333,0.411764706
0.238095238,0,0.16260745,1,0.821428571,3,2,3,1,0.3,3,1,2,2,1,0.073670353,0.209997992,1,0,0.428571429,3,3,3,0.025,3,3,0.025,0.055555556,0,0
0.880952381,0,0.959169054,1,0.75,3,4,1,1,0.914285714,2,1,1,2,2,0.133122696,0.869022285,5,1,0.071428571,3,4,1,0.2,1,3,0.1,0.111111111,0.066666667,0.117647059
0.523809524,0,0.56017192,1,0.5,3,0,1,0,0.714285714,2,3,3,3,1,0.496366509,0.951857057,1,1,0.142857143,3,4,2,0.45,2,3,0.45,0.833333333,0.933333333,0.705882353
0.5,2,0.990687679,1,0.857142857,2,0,3,1,0.585714286,3,3,4,3,1,0.521906266,0.054406746,3,1,0.714285714,4,2,1,0.325,2,3,0.15,0.222222222,0,0.294117647
0.261904762,0,0.17765043,2,0.428571429,3,5,1,1,0.371428571,2,1,8,1,2,0.069826224,0.042682192,4,0,0.285714286,3,4,3,0.1,3,3,0.05,0.111111111,0.133333333,0
0.380952381,0,0.073065903,0,0.464285714,3,4,3,0,0.014285714,3,1,6,3,2,0.082675092,0.03284481,1,0,0.5,3,4,2,0.2,3,3,0.2,0.111111111,0,0.352941176
0.166666667,0,0.344555874,0,0.107142857,1,3,3,1,0.814285714,2,2,0,1,1,0.170984729,0.644850432,1,1,0.071428571,3,1,0,0.125,1,4,0.125,0.111111111,0,0.176470588
0.428571429,0,0.842406877,2,0.25,3,0,1,1,0.671428571,2,1,8,1,1,0.070194839,0.262638024,0,1,0.714285714,4,3,0,0.15,3,3,0.125,0.222222222,0,0.176470588
0.476190476,2,0.33739255,1,0.178571429,3,2,2,0,0.7,1,2,1,4,2,0.227488152,0.546998595,7,0,0.071428571,3,4,3,0.425,3,3,0.325,0.611111111,0.066666667,0.529411765
0.880952381,2,0.053724928,1,0.25,1,2,4,1,0.1,2,4,4,2,2,0.661822012,0.94350532,1,0,0.285714286,3,4,1,0.85,3,3,0.825,0.5,1,0
0.976190476,0,0.950573066,1,0.607142857,4,2,4,1,0.528571429,3,3,3,4,0,0.500421274,0.719052399,6,1,0.071428571,3,4,0,0.625,6,2,0.225,0.388888889,0.333333333,0.235294118
0.571428571,1,0.595272206,1,0.642857143,3,2,3,1,0.385714286,4,1,1,3,2,0.092153765,0.733667938,6,0,0.071428571,3,4,0,0.175,2,3,0.05,0.111111111,0.133333333,0.117647059
0.833333333,2,0.400429799,1,0,4,2,1,0,0.428571429,2,4,3,3,1,0.629594523,0.811644248,4,0,0.642857143,4,4,3,0.675,2,2,0.075,0.111111111,0,0.117647059
0.619047619,0,0.992836676,0,0,5,3,2,0,0.642857143,3,2,0,1,2,0.234070563,0.07689219,5,0,0.714285714,4,3,1,0.225,2,2,0.1,0.166666667,0.066666667,0.176470588
0.880952381,0,0.446275072,1,0.035714286,3,2,4,1,0.685714286,3,5,5,1,1,0.992627699,0.767115037,5,0,0.142857143,3,4,1,0.6,2,3,0.125,0.111111111,0.066666667,0.235294118
0.5,1,0.799426934,1,0,1,0,2,1,0.314285714,3,5,5,3,2,0.957767246,0.245693636,1,0,0.214285714,3,3,1,0.525,3,3,0.525,0.444444444,0.066666667,0.352941176
0.476190476,0,0.703438395,1,1,3,4,4,1,0.342857143,3,2,3,4,1,0.276566614,0.083959044,3,1,0.5,3,1,1,0.225,3,1,0.175,0.388888889,0.066666667,0.411764706
0.738095238,0,0.708452722,1,0,2,4,3,0,0.857142857,2,4,4,3,0,0.682201159,0.631037944,7,0,0.071428571,3,4,0,0.625,2,3,0.175,0.055555556,0,0.411764706
0.833333333,0,0.926217765,1,0.821428571,4,2,2,1,0.257142857,4,3,4,4,1,0.315745129,0.054768119,3,1,0.285714286,3,3,0,0.275,2,3,0.1,0.166666667,0.066666667,0.117647059
0.428571429,2,0.381805158,0,0.321428571,4,2,2,1,0.028571429,3,3,0,4,0,0.47240653,0.530977715,1,1,0.214285714,3,4,0,0.25,3,2,0.25,0.166666667,0.6,0.411764706
0.285714286,0,0.335243553,0,0.142857143,3,3,4,0,0,2,2,0,3,2,0.269036335,0.133989159,1,1,0.142857143,3,3,3,0.25,2,3,0.25,0.5,0.066666667,0.117647059
0.857142857,0,0.039398281,1,0.321428571,3,2,3,0,0.671428571,3,2,3,1,0,0.180674039,0.927685204,6,0,0.571428571,3,4,0,0.225,3,3,0.125,0.111111111,0.066666667,0.235294118
0.19047619,0,0.960601719,0,0.785714286,3,3,3,0,0.242857143,2,2,0,4,1,0.165771459,0.776631199,7,0,0.571428571,3,3,1,0.125,2,2,0.05,0.111111111,0,0
0.904761905,0,0.441260745,1,0.107142857,4,4,4,0,0.885714286,3,5,5,1,2,0.99705108,0.661754668,4,1,0.142857143,3,4,1,0.7,2,3,0.125,0.111111111,0.266666667,0.117647059
0.023809524,1,0.358166189,0,0,1,4,3,0,1,1,1,6,1,0,0.069299631,0.758682995,0,1,0.714285714,4,1,0,0.025,5,4,0,0,0,0
0.571428571,0,0.926934097,1,0.178571429,3,2,3,1,0.757142857,3,3,7,1,1,0.649763033,0.511865087,9,1,0.142857143,3,2,1,0.45,3,4,0.325,0.388888889,0.333333333,0.411764706
0.452380952,0,0.407593123,1,0.642857143,3,0,3,1,0.785714286,3,2,3,3,1,0.250605582,0.979682795,3,1,0.428571429,3,1,3,0.225,2,2,0.1,0.166666667,0,0.117647059
0.428571429,0,0.931948424,1,0.178571429,3,0,4,1,0.242857143,3,1,2,4,1,0.115903107,0.729050391,0,1,0,3,3,1,0.4,4,3,0.375,0.722222222,0.666666667,0.647058824
0.571428571,0,0.594555874,1,0,2,0,4,0,0.185714286,2,2,3,4,1,0.266087414,0.078578599,9,0,0.142857143,3,4,1,0.2,4,3,0.1,0.166666667,0,0.117647059
0.333333333,0,0.519340974,1,0,1,0,4,1,0.585714286,3,1,1,1,0,0.102527646,0.525356354,1,1,0.142857143,3,4,0,0.025,2,3,0.025,0,0,0
0.357142857,0,0.588825215,1,0.035714286,3,2,3,1,0.685714286,3,1,2,4,0,0.078304371,0.183738205,4,1,0,3,4,0,0.175,3,3,0.025,0.055555556,0,0
0.404761905,2,0.79512894,0,0.25,2,3,3,0,0.685714286,2,3,0,4,1,0.49331227,0.468219233,4,0,0,3,2,1,0.4,6,2,0.325,0.111111111,0.266666667,0.705882353
0.642857143,0,0.964899713,0,0.035714286,3,3,1,0,0.914285714,1,5,5,2,0,0.938125329,0.016020879,2,0,0.357142857,3,1,0,0.65,2,3,0.6,0.555555556,0.066666667,0.647058824
0.452380952,0,0.725644699,1,0,4,0,1,1,0.3,2,2,3,3,2,0.262453923,0.023890785,1,1,0.5,3,3,1,0.175,2,4,0.175,0.277777778,0,0.411764706
0.238095238,0,0.946275072,1,0,3,0,1,1,0.6,2,1,1,3,2,0.029173249,0.419032323,1,1,0.214285714,3,4,1,0.025,2,1,0.025,0,0,0
0.357142857,1,0.23495702,0,0.214285714,3,2,4,1,0.342857143,3,2,0,1,1,0.177145866,0.616823931,0,1,0.214285714,3,1,2,0.125,2,3,0.1,0.166666667,0,0.176470588
0.428571429,0,0.671919771,1,0.071428571,2,0,4,1,0.7,4,2,4,1,2,0.307161664,0.972254567,6,1,0.642857143,4,1,1,0.325,3,3,0.125,0.222222222,0,0.235294118
0.380952381,0,0.492836676,0,0.821428571,4,2,1,0,0.142857143,2,2,0,2,0,0.189046867,0.229712909,0,0,0.857142857,4,3,0,0.4,2,4,0.375,0.5,0.666666667,0.588235294
0.404761905,1,0.020057307,1,0.857142857,4,0,4,0,0.942857143,3,1,1,2,2,0.053343865,0.582935154,1,0,0.571428571,3,1,1,0.25,3,2,0.25,0.111111111,0.466666667,0.470588235
0.595238095,1,0.327363897,1,0.321428571,4,0,3,0,0.742857143,2,2,2,3,2,0.223696682,0.165950612,1,1,0,3,2,1,0.225,3,4,0.225,0.388888889,0,0
